Type,Name,Address,District,,Type,District
Industrial Complex, Jurong Port Offshore Marine Centre,"101 Tuas South Avenue, S(637423)",South West,,,
Industrial Complex, LaunchPad @ JID,"2 Cleantech Loop, S(637144)",South West,,,
Industrial Complex, MedTech Hub,"2 Tukang Innovation Grove, S(618305)",South West,,,
Industrial Complex, SkyTech,"2 Bukit Batok Street 24, S(659480)",South West,,,
Market & Food Centre, Ayer Rajah Amenity Centre ,"69 Ayer Rajah Crescent, S(139961)",South West,,,
Market & Food Centre, Ayer Rajah Food Centre & Market,"Blk 502 West Coast Drive, S(120502)",South West,,,
Market & Food Centre, Boon Lay Market & Food Centre,"221A Boon Lay Place, S(641221)",South West,,,
Market & Food Centre, Jurong Port Road Food Centre ,"29A Jurong Port Road, S(619112)",South West,,,
Market & Food Centre, Pasir Panjang Food Centre,"121 Pasir Panjang Road, S(118543)",South West,,,
Market & Food Centre, Taman Jurong Market & Food Centre,"3 Yung Sheng Road, S(618499)",South West,,,
Market & Food Centre, Timbre + Ayer Rajah Crescent Hawker Centre,"73A Ayer Rajah Crescent, S(139957)",South West,,,
Market & Food Centre, Yuhua Village Market & Food Centre,"254 Jurong East Street 24, S(600254)",South West,,,
MRT Station, Beauty World MRT Station (DT5),"101 Upper Bukit Timah Road, S(588216)",South West,,,
MRT Station, Boon Lay MRT Station (EW27),"301 Boon Lay Way, S(649846)",South West,,,
MRT Station, Bukit Batok MRT Station (N2),"10 Bukit Batok Central, S(659958)",South West,,,
MRT Station, Bukit Gombak MRT Station (NS3),"802 Bukit Batok West Avenue 5, S(659083)",South West,,,
MRT Station, Bukit Panjang MRT Station (DT1),"950 Upper Bukit Timah Road, S(678213)",South West,,,
MRT Station, Buona Vista MRT station,"301, South Buona Vista Road, S(118177)",South West,,,
MRT Station, Buona Vista MRT Station (EW21),"100 Bouna Vista Road, S(139345)",South West,,,
MRT Station, Chinese Garden MRT Staton (EW25),"151 Boon Lay Way, S(609959)",South West,,,
MRT Station, Choa Chu Kang MRT Station (NS4),10 Choa Chu Kang Avenue 4 S(689810),South West,,,
MRT Station, Clementi MRT Station (EW23),"3150 Commonwealth Avenue West, S(129580)",South West,,,
MRT Station, Gul Circle Station,"7A Tuas Road, S(637288)",South West,,,
MRT Station, Haw Par Villa MRT station,"200, Holland Avenue, S(278995)",South West,,,
MRT Station, Joo Koon MRT Station (EW29),"91 Joo Koon Circle, S(6291116)",South West,,,
MRT Station, Jurong East MRT Station (EW24),"10 Jurong East Street 12, S(609690)",South West,,,
MRT Station, Kent Ridge MRT station,"100, North Buona Vista Road, S(139345)",South West,,,
MRT Station, Labrador Park MRT station,"100, Cluny Park Road, S(257494)",South West,,,
MRT Station, Lakeside MRT (EW26),"201 Boon Lay Way, S(649845)",South West,,,
MRT Station, One North MRT station,"9, Ayer Rajah Avenue, S(138647)",South West,,,
MRT Station, Pasir Panjang MRT station,"71, Farrer Road, S(268857)",South West,,,
MRT Station, Pioneer MRT Station (EW28),"31 Jurong West Street 63, S(648310)",South West,,,
MRT Station, Telok Blangah MRT station,"38, Toa Payoh Rise, S(298113)",South West,,,
MRT Station, Tuas Crescent MRT Station,"90 Pioneer Road, S(639608)",South West,,,
MRT Station, Tuas Link MRT Station,"20 Tuas West Drive, S(638418)",South West,,,
MRT Station, Tuas West MRT Station,"131, Pioneer Road, S(639609)",South West,,,
Park, Jurong Eco Garden ,"1 Cleantech Loop Singapore, S(637141)",South West,,,
Private Office, CKR Contract Services Pte Ltd,"56 Sungei Kadut Drive, S(729573)",South West,,,
Private Office, Samwoh Eco Green Building,"51 Kranji Crescent, S(728661)",South West,,,
Shopping Centre, Choa Chu Kang Centre,"309 Choa Chu Kang Avenue 4, S(680308)",South West,,,
Shopping Centre, Depot Height Shopping Centre ,"108 Depot Road, S(100108)",South West,,,
Shopping Centre, Gek Poh Shopping Centre,"Blk 762, Jurong West Street 75, S(640762)",South West,,,
Shopping Centre, Greenridge Shopping Centre,"524A Jelapang Road, S(671524)",South West,,,
Shopping Centre, Greenridge Shopping Centre,"524A Jelapang Road, S(671524)",South West,,,
Shopping Centre, Jurong Point Shopping Centre,"1 Jurong West Central 2, #03-07, Jurong Point Shopping Centre, S(648886)",South West,,,
Shopping Centre, Limbang Shopping Centre,"532 Choa Chu Kang Street 51, S(680532)",South West,,,
Shopping Centre, Pioneer Mall,"638 Jurong West Street 61, S(640638)",South West,,,
Shopping Centre, Sunshine Place,"475 Choa Chu Kang Avenue 3, S(680475)",South West,,,
Shopping Centre, Taman Jurong Shopping Centre,Blk 399 Yung Sheng Road (Near Party World/NTUC),South West,,,
Shopping Centre, Yew Tee Square,"624 Choa Chu Kang Street 62, S(680624)",South West,,,
