Type,Name,Address,District,,Type,District
MRT Station, Braddell MRT Station,"377 Lorong 1, Toa Payoh, S(319756)",Central,,,
MRT Station, Bras Basah MRT Station,"65 Bras Basah Road, S(189561)",Central,,,
MRT Station, Bright Hill MRT Station (TE7),"100 Sin Ming Avenue, S(575737)",Central,,,
MRT Station, Bugis MRT Station (DT14),"220 Voctoria Street, S(188022)",Central,,,
MRT Station, Caldecott MRT Station (TE9),"38 Toa Payoh Rise, S(298113)",Central,,,
MRT Station, Chinatown MRT Station (DT19),"91 Upper Cross Street, S(058362)",Central,,,
MRT Station, Chinatown MRT Station (NE4),"151 New Bridge Road, (059443)",Central,,,
MRT Station, City Hall MRT Station,"150 North Bridge Road, S(179100) EW13",Central,,,
MRT Station, Clark Quay MRT Station (NE5),"10 Outram Road, S(169037)",Central,,,
MRT Station, Commonwealth MRT Station (EW20),"375 Commonwealth Avenue, S(149735)",Central,,,
MRT Station, Dhoby Ghaut MRT Station,"11 Orchard Road, S(238826) NS24",Central,,,
MRT Station, Dhoby Ghaut MRT Station Circle Line,"11 Orchard Road, S(238826)",Central,,,
MRT Station, Downtown MRT Station (DT17),"15 Central Boulevard, S(018969)",Central,,,
MRT Station,Esplanade MRT Station,"90 Bras Basah Road, S(189562)",Central,,,
MRT Station, Farrer Park MRT Station (NE8),"250 Race Course Road, S(218703)",Central,,,
MRT Station, Farrer Road MRT station,"119, Pasir Panjang Road, S(117424)",Central,,,
MRT Station, Fort Canning MRT Station (DT20),"170 River Valley Road, S(179038)",Central,,,
MRT Station, Garden By The Bay MRT Station (TEL22),"11 Marina Mall, S(019396)",Central,,,
MRT Station, Geylang Bahru MRT Station (DT24),"541 Kallang Bahru, S(339355)",Central,,,
MRT Station, Great World Station (TEL15),"351 River Valley Road, S(238384)",Central,,,
MRT Station, HarbourFront MRT Station (NE1),"81 Telok Blangah Road, S(098867)",Central,,,
MRT Station, Havelock MRT Station (TEL16),"110 Zion Road, S(168604)",Central,,,
MRT Station, Holland Village MRT station,"262, Pasir Panjang Road, S(118628)",Central,,,
MRT Station, Jalan Besar MRT Station (DT22),"35B Jalan Besar, S(208800)",Central,,,
MRT Station," Jalan Besar MRT Station, B1 (DT22)","35B Jalan Besar, S(208800)",Central,,,
MRT Station, Kallang MRT Station (EW10),"5 Sims Avenue, S(387405)",Central,,,
MRT Station, Lentor MRT Station (TE5),"1 Lentor Drive, S(789361)",Central,,,
MRT Station, Little India MRT Station (DT12),"60 Bukit Timah Road, S(229900)",Central,,,
MRT Station, Little India MRT Station (NE7),"60 Bukit Timah Road, S(229900)",Central,,,
MRT Station, Marina Bay MRT Station,"21 Marina Station Road, S(018990)",Central,,,
MRT Station, Marina Bay MRT Station (TEL20),"25 Park Street, S(018929)",Central,,,
