Address,Latitude,Longitude
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
"437 Orchard Road, S(238878)",1.3033191,103.8322954
"301 Orchard Boulevard, S(237974)",1.3028224,103.8244591
"10 Outram Road, S(169037)",1.2814265,103.8391803
10 Eu Tong Sen Street S(059815),1.2887613,103.8468272
"13 Outram Road, S(169080)",1.2813157,103.8386212
55 Upper Serangoon Rd. S(347694),1.3312317,103.8687722
"2 Tamasek Avenue, S(039193)",1.2924504,103.8604405
"301 Commonwealth Avenue, S(149729)",1.294137,103.8061205
"5 Raffles Place, S(048618)",1.2844808,103.8514561
"920 Tiong Bahru Road, S(158792)",1.2896386,103.8167739
"11 Rochore Canal Road, S(188505)",1.3035407,103.8525484
"2 Park Street, S(018928)",22.5522042,88.3529781
"92 Steven Road, S(257877)",1.3195452,103.8257736
"92 Steven Road, S(257877)",1.3195452,103.8257736
"120 Maxwell Road, S(069119)",1.2767709,103.8451658
"7 Cross Street, S(048416)",1.282251,103.84819
"1 Jalan Keli, S(577937)",1.3539717,103.8338127
"400 Upper Serangoon Road, S(347695)",1.3389621,103.8704735
"3000 Ang Mo Kio Avenue 8, S(569813)",1.3707675,103.8486932
"3 Park Lane, S(798387)",1.408043,103.8683218
"31 Marina Coastal Drive, S(018988)",1.2708997,103.8632543
"44 Minden Road, S(248816)",1.304811,103.815153
"14, Kung Chong Road, S(159150)",1.2900376,103.8112565
"39 Kim Keat Road, Wee Hur Building, S(328814)",1.3254289,103.8535107
"438 Serangoon Road, S(218133)",1.3129619,103.8564529
"991 Buangkok Link, Buangkok Square Mall, S(530991)",1.3846918,103.8819586
"180 Kitchener Road, City Square Mall, S(208539)",1.3114516,103.8561608
"57 Dawson Road, S(142057)",1.2927082,103.8110301
"336, Smith Street, S(050336)",1.2828449,103.8425941
"390 Orchard Road, S(238871)",1.3066492,103.8295057
"31 Ocean Way, S(098375)",1.2479283,103.8417309
"252 North Bridge Road, S(179103)",1.2942831,103.8529487
"11, Unity Street, #02-20A, S(237995)",1.2919896,103.8416883
"6 Eu Tong Sen Street, S(059817)",1.2891465,103.8467157
"2 Bayfront Avenue, S(018972)",1.2836602,103.8592707
"302 Tiong Bahru Road, S(168732)",1.2864763,103.8271508
"491 River Valley Road, S(248371)",1.2928755,103.827015
"109 Mount Faber Road, Level 2, S(099230)",1.2713774,103.8192945
"1 Fullerton Road, S(049178)",1.2858493,103.8532844
"109 Mount Faber Road, Level 1, S(099230)",1.2713774,103.8192945
"33 Allanbroke Road, Sentosa, S(099981)",1.2485765,103.8281728
Sentosa Boardwalk,1.2600847,103.8231988
"Imbiah Lookout, Sentosa, S(099538)",1.2548481,103.8176246
"Imbiah Express Station, Sentosa, S(099981)",1.2494041,103.8303209
"Palawan Beach Walk, S(098521)",1.2489493,103.8223737
"Palawan Beach Walk, S(098038)",,
"31 Beach View, Palawan Kidz City S(098008)",1.2512181,103.8200048
"Siloso Beach Walk, S(098997)",1.2540283,103.8148433
Sentosa Siliso East,1.2554915,103.8123885
"Wings of Time, Sentosa, S(099538)",1.2509413,103.8173405
"1 Fullerton Road, S(049213)",1.2856406,103.8539179
"51A, Compassvale Road, S(544760)",1.3911653,103.8970559
"840 Hougang Central, S(53877)",1.3708569,103.8930782
"70A, Punggol Place, S(828865)",1.4040984,103.9022099
"13 Sengkang Square, S(545077)",1.3914137,103.8963121
"512 Tampines Central 1, S(520512)",1.3536424,103.9430565
"11 Tampines Concourse, S(529543)",1.356359,103.940956
1 Pasir Ris Close S(519599),1.3788115,103.9550297
"9 Sentul Crescent, S(828654)",1.410196,103.906152
"231, Sumang Lane, S(820231)",1.4019589,103.8921939
"275D Compassvale Link, #01-01, S(544275)",1.382748,103.893938
"639 Punggol Drive, #01-07, S(820639)",1.3994698,103.9160757
"108 Punggol Field, #01-01, S(820108)",1.3966546,103.9086654
"273C Punggol Place, #01-882, S(823273)",1.4022449,103.9013507
"20 Kensington Park Road, S(557269)",1.3642662,103.8665583
"902 Tampines Avenue 4, S(520902)",1.3512821,103.9390978
"110 Pasir Ris Central, S(519641)",1.3735776,103.9514715
"49A Serangoon Garden Way, S(555945)",1.3630929,103.8666457
"Blk 137 Tampines Street 11, S(521137)",1.3454824,103.9447584
"371 Bedok North Avenue 3, S(469724)",1.3363854,103.9329353
"10 Sengkang Central, S(545061)",1.3822965,103.8928083
"30 Eunos Crescent, S(409423)",1.3196998,103.902894
"80 Hougang Central, S(538758)",1.3719898,103.8919703
"30 Kaki Bukit Avenue 1, S(415804)",1.3348974,103.908984
"55 Sims Avenue East, S(416551)",1.3209589,103.9126762
"900 Upper Serangoon Rd, S(534799)",1.359923,103.885144
"10 Pasir Ris Central, S(519634)",1.3731143,103.9493411
"10 Punggol Central, S(828868)",1.4064702,103.8994441
"5 Sengkang Square, S(545062)",1.3914004,103.895835
"20 Tampines Avenue 7, S(529623)",1.3568215,103.9556869
"20 Tampines Central, S(529538)",1.3533339,103.9452211
"20 Tampines Central, S(529538)",1.3533339,103.9452211
"2 Tampines Avenue 4, S(529683)",1.3454606,103.938236
"920 New Upper Changi Road, (467356)",1.3272004,103.9463949
"2 Pasir Ris Walk, S(518239)",1.3711413,103.9640049
"2 Tampines Central 5, S(529509)",1.3523888,103.9438567
"Blk 625, Level 1 & 2, Elias Road, S(510625)",1.3776679,103.9414209
"90 Hougang Avenue 10, Level B1 - 2, S(538766)",1.372455,103.8938277
"90 Hougang Avenue 10, Level 3 - 5, S(538766)",1.372455,103.8938277
"258/259 Pasir Ris Street 21, S(510258)",1.3680634,103.9623767
"735, Pasir Ris Street 72, S(510735)",1.3797473,103.9363331
"118, Rivervale Plaza, S(540118)",1.3855939,103.9019834
"Blk 886A, Tampines Street 83, S(521866)",1.3519075,103.9322995
"10, Tampines Central 1, S(529536)",1.354212,103.9450352
"1 Pasir Ris Central Street 3, S(518457)",1.3724166,103.9496584
"15 Petir Road, S(678270)",1.3784446,103.7638759
"Gali Batu Terminal, 3 Jalan Gali Batu, S(678673)",1.4029545,103.7574608
"209 Kranji Road, S(739484)",1.4335713,103.7543511
"11A, Sembawang Vista, S(757527)",1.4472813,103.8195946
"60 Woodlands Industrial Park E4, S(757705)",1.4487377,103.7949113
"30 Woodlands Avenue, S(738343)",,
"3A Woodlands Square, S(727735)",1.4382545,103.7866262
"20A Yishun Central, S(768830)",1.4294629,103.837294
"504 Yishun Street 51, #01-01, S(760504)",1.4182345,103.8445869
"628 Senja Road, #01-07, S(670628)",1.3851782,103.7600084
"361 Sembawang Crescent, #01-01, S(750361)",1.4465707,103.8140751
"21 Canberra Link, S(756973)",1.4488532,103.8236415
"90 Yishun Central, S(768828)",1.4242972,103.8385907
"21 Canberra Link, S(756973)",1.4488532,103.8236415
"259 Bukit Panjang Ring Road, S(671259)",1.3773085,103.7730453
"105 Yishun Ring Road, S(760105)",1.4317981,103.8280566
"1 Lorong Mambong, S(277700)",1.311087,103.7949113
"2 Senja Close, S(677632)",1.3870946,103.7608356
"51 Yishun Avenue 11, S(768867)",1.4249457,103.8447228
"70 Woodlands Avenue, S(738344)",,
"11, Canberra Link, S(756922)",1.4435047,103.8294255
"1 Cashew Road, S(679696)",1.3699296,103.7645535
"200 Commonwealth Avenue West, S(138677)",1.3114722,103.7784322
"510 Upper Bukit Timah Road, S(678211)",1.3623643,103.7673821
"2 Blackmore Drive, S(599987)",1.3357361,103.7830238
"960 Woodlands Road, S(738702)",1.4250037,103.762072
"71 Woodlands Avenue 3, S(739044)",1.4324413,103.7740638
"11 Canberra Road, S(759775)",1.4490229,103.8198723
