 Sentosa Imbiah Station,"Imbiah Express Station, Sentosa, S(099981)",Central,,,
 Sentosa Palawan Beach (East),"Palawan Beach Walk, S(098521)",Central,,,
 Sentosa Palawan Beach (West),"Palawan Beach Walk, S(098038)",Central,,,
 Sentosa Palawan Kidz City ,"31 Beach View, Palawan Kidz City S(098008)",Central,,,
 Sentosa Silosa Beach (East),"Siloso Beach Walk, S(098997)",Central,,,
 Sentosa Siloso (West),Sentosa Siliso East,Central,,,
 Sentosa Wings of Time,"Wings of Time, Sentosa, S(099538)",Central,,,
 The Fullerton Water Boat House,"1 Fullerton Road, S(049213)",Central,,,
 Compassvale Bus Interchange,"51A, Compassvale Road, S(544760)",North East,,,
 Hougang Bus Interchanage,"840 Hougang Central, S(53877)",North East,,,
 Punggol Bus Interchange,"70A, Punggol Place, S(828865)",North East,,,
 Sengkang Bus Interchange,"13 Sengkang Square, S(545077)",North East,,,
 Tampines Bus Interchange,"512 Tampines Central 1, S(520512)",North East,,,
 Tampines Concourse Bus Interchange ,"11 Tampines Concourse, S(529543)",North East,,,
 NTUC Club Downtown East,1 Pasir Ris Close S(519599),North East,,,
 Safra Punggol,"9 Sentul Crescent, S(828654)",North East,,,
 Kopitiam @ 231 Sumang Lane,"231, Sumang Lane, S(820231)",North East,,,
 Kopitiam @ 275D Compassvale Link,"275D Compassvale Link, #01-01, S(544275)",North East,,,
 Kopitiam @ 639 Punggol Drive,"639 Punggol Drive, #01-07, S(820639)",North East,,,
 Kopitiam @108 Punggol Field,"108 Punggol Field, #01-01, S(820108)",North East,,,
 NTUC Foodfare @ 273C Punggol Place,"273C Punggol Place, #01-882, S(823273)",North East,,,
 Chomp Chomp Food Centre,"20 Kensington Park Road, S(557269)",North East,,,
 Hawker Centre @ Our Tampines Hub,"902 Tampines Avenue 4, S(520902)",North East,,,
 Pasir Ris Central Hawker Centre,"110 Pasir Ris Central, S(519641)",North East,,,
 Serangoon Garden Market,"49A Serangoon Garden Way, S(555945)",North East,,,
 Tampines Round Market & Food Centre ,"Blk 137 Tampines Street 11, S(521137)",North East,,,
 Bedok Reservoir MRT Station (DT30),"371 Bedok North Avenue 3, S(469724)",North East,,,
 Buangkok MRT Station (NE15),"10 Sengkang Central, S(545061)",North East,,,
 Eunos MRT Station,"30 Eunos Crescent, S(409423)",North East,,,
 Hougang MRT Station (NE14),"80 Hougang Central, S(538758)",North East,,,
 Kaki Bukit MRT Station (DT28),"30 Kaki Bukit Avenue 1, S(415804)",North East,,,
 Kembangan MRT Station,"55 Sims Avenue East, S(416551)",North East,,,
 Kovan MRT Station (NE13),"900 Upper Serangoon Rd, S(534799)",North East,,,
 Pasir Ris MRT Station,"10 Pasir Ris Central, S(519634)",North East,,,
 Punggol MRT Station-NE17,"10 Punggol Central, S(828868)",North East,,,
 Sengkang MRT Station (NE16),"5 Sengkang Square, S(545062)",North East,,,
 Tampines East MRT Station (DT33),"20 Tampines Avenue 7, S(529623)",North East,,,
 Tampines MRT Station,"20 Tampines Central, S(529538)",North East,,,
 Tampines MRT Station (DT32),"20 Tampines Central, S(529538)",North East,,,
 Tampines West MRT Station (DT31),"2 Tampines Avenue 4, S(529683)",North East,,,
 Tanah Merah MRT Station,"920 New Upper Changi Road, (467356)",North East,,,
 Al - Istighfar Mosque,"2 Pasir Ris Walk, S(518239)",North East,,,
 Century Square,"2 Tampines Central 5, S(529509)",North East,,,
 Elias Mall,"Blk 625, Level 1 & 2, Elias Road, S(510625)",North East,,,
 Hougang Mall,"90 Hougang Avenue 10, Level B1 - 2, S(538766)",North East,,,
 Hougang Mall,"90 Hougang Avenue 10, Level 3 - 5, S(538766)",North East,,,
 Loyang Point Shopping Centre,"258/259 Pasir Ris Street 21, S(510258)",North East,,,
 Pasir Ris West Plaza,"735, Pasir Ris Street 72, S(510735)",North East,,,
 Rivervale Plaza,"118, Rivervale Plaza, S(540118)",North East,,,
 Tampines Central Community Complex,"Blk 886A, Tampines Street 83, S(521866)",North East,,,
 Tampines One,"10, Tampines Central 1, S(529536)",North East,,,
 White Sands,"1 Pasir Ris Central Street 3, S(518457)",North East,,,
 Bukit Panjang Intergrated Transport Hub,"15 Petir Road, S(678270)",North West,,,
 Gali Batu Bus Terminal,"Gali Batu Terminal, 3 Jalan Gali Batu, S(678673)",North West,,,
 Kranji Bus Depot,"209 Kranji Road, S(739484)",North West,,,
 Sembawang Bus Interchange,"11A, Sembawang Vista, S(757527)",North West,,,
 Woodlands Depot,"60 Woodlands Industrial Park E4, S(757705)",North West,,,
 Woodlands Integrated Transport Hub,"30 Woodlands Avenue, S(738343)",North West,,,
 Woodlands Temporary Bus Interchange,"3A Woodlands Square, S(727735)",North West,,,
 Yishun Integrated Hub Bus Interchange,"20A Yishun Central, S(768830)",North West,,,
 Kopitiam @ 504 Yishun Street 51,"504 Yishun Street 51, #01-01, S(760504)",North West,,,
 Kopitiam @ 628 Senja Road,"628 Senja Road, #01-07, S(670628)",North West,,,
 NTUC Foodfare @ 361 Sembawang Crescent,"361 Sembawang Crescent, #01-01, S(750361)",North West,,,
 Bukit Canberra Indoor Sports Hall,"21 Canberra Link, S(756973)",North West,,,
 NTUC Foodfare KTPH,"90 Yishun Central, S(768828)",North West,,,
 Bukit Canberra Hawker Centre,"21 Canberra Link, S(756973)",North West,,,
 Bukit Panjang Hawker Centre,"259 Bukit Panjang Ring Road, S(671259)",North West,,,
 Chong Pang Market & Food Centre,"105 Yishun Ring Road, S(760105)",North West,,,
 Holland Village Market & Food Centre,"1 Lorong Mambong, S(277700)",North West,,,
 Senja Hawker Centre,"2 Senja Close, S(677632)",North West,,,
 Yishun Park Hawker Centre,"51 Yishun Avenue 11, S(768867)",North West,,,
 Admiralty MRT Station,"70 Woodlands Avenue, S(738344)",North West,,,
 Canberra MRT Station (NS12),"11, Canberra Link, S(756922)",North West,,,
 Cashew MRT Station (DT2),"1 Cashew Road, S(679696)",North West,,,
 Dover MRT Station (EW22),"200 Commonwealth Avenue West, S(138677)",North West,,,
 Hillview MRT Station (DT3),"510 Upper Bukit Timah Road, S(678211)",North West,,,
 King Albert MRT Station (DT6),"2 Blackmore Drive, S(599987)",North West,,,
 Kranji MRT Station,"960 Woodlands Road, S(738702)",North West,,,
 Marsiling MRT Station,"71 Woodlands Avenue 3, S(739044)",North West,,,
 Sembawang MRT Station (NS11),"11 Canberra Road, S(759775)",North West,,,
 Sixth Avenue MRT Station (DT7),"777 Bukit Timah Road, S(269784)",North West,,,
 Springleaf MRT Station (TE4),"825 Upper Thomson Road, S(787140)",North West,,,
 Tan Kah Kee MRT Station (DT8),"651 Bukit Timah Road, S(266268)",North West,,,
 Woodlands MRT Station,"30 Woodlands Avenue, S(738343)",North West,,,
 Woodlands North Station (TEL1),"20 Woodlands North Coast Road, S(737668)",North West,,,
 Woodlands South Station (TEL3),"30 Woodlands Drive 17, S(737741)",North West,,,
 Woodlands Station (TEL2),"11 Woodlands Square, S(737736)",North West,,,
 Yew Tee MRT Station,"61 Choa Chu Kang Drive, S(689715)",North West,,,
 Yishun MRT Station (NS13),"301 Yishun Avenue 2, S(769093)",North West,,,
 888 Plaza,"Blk 888, Woodlands Drive 50, S(731888)",North West,,,
 Admiralty Place,"Blk 678 Woodlands Avenue 6, S(730678)",North West,,,
 Fajar Shopping Centre,"445 Fajar Road, Level 1 & 2, S(670445)",North West,,,
 Sembawang Mart,"Blk 511 Canberra Road, S(750511)",North West,,,
 Vista Point,"Blk 548 Woodlands Drive 44, S(730548)",North West,,,
Woodlands Mart,"Blk 768 Woodlands Street 61, S(730768)",North West,,,
 Bedok Bus Interchange,"12 BedokNorth Drive, S(465492)",South East,,,
 Changi Business Park Bus Terminal,"55 Changi South Avenue 1, S(485997)",South East,,,
 Eunos Bus Interchange,"409 Eunos Road 2, S(409388)",South East,,,
 Serangoon Bus Interchange,"20 Serangoon Avenue 2, S(556138)",South East,,,
 Upper East Coast Bus Terminal,"740 Upper East Coast Road, S(465549)",South East,,,
 Kopitiam @ 248 Simei Street 3,"238 Simei Street 3, #01-136, S(520248)",South East,,,
 Kopitiam Corner,"152A Bedok South Road, S(461152)",South East,,,
 Heartbeat@Bedok,"11 Bedok North Stree 1, S(469662)",South East,,,
 Bedok Food Centre,"1 Bedok Road, S(469572)",South East,,,
 Bedok Interchange Hawker Centre,"208B, New Upper Changi Road, S(462208)",South East,,,
 Blk 16 Bedok South Road Market & Food Centre,"Blk 16, Bedok South Road, S(460016)",South East,,,
 Changi Village Hawker Centre,"2 Changi Village Road, S(500002)",South East,,,
 Dunman Food Centre,"271 Onan Road, S(424768)",South East,,,
 East Coast Lagoon Food Village,"1220 East Coast Parkway, S(468960)",South East,,,
 Geylang Serai Market,"1 Geylang Serai, S(402001)",South East,,,
 Aljunied MRT Station (EW9),"81 Lorong 25 Geylang, S(388310)",South East,,,
 Bartley MRT Station,"212 Upper Paya Lebar, S(534881)",South East,,,
 Bedok MRT Station,"315 New Upper Changi Road, S(467347)",South East,,,
 Bedok North MRT Station (DT29),"315 Upper Changi Road, S(467347)",South East,,,
 Dakota MRT Station,"201 Airport Road, S(397973)",South East,,,
 Expo MRT Station,"21 Upper Changi South Avenue 1, S(486065)",South East,,,
 Lorong Chuan MRT Station,"150 Serangoon Avenue 3, S(554533)",South East,,,
 Macpherson MRT Station (DT26),"10 Circuit Link, S(378956)",South East,,,
 Macpherson MRT Station CC10,"171 Paya Lebar Rd, S(409048)",South East,,,
 Mattar MRT Station (DT25),"60 Merpati Road, S(379314)",South East,,,
 Mountbatten MRT Station,"301 Mountbatten Road, S(398006)",South East,,,
 Paya Lebar MRT Station,"30 Paya Lebar Road, S(409006)",South East,,,
 Paya Lebar MRT Station CC09,"30 Paya Lebar Road, S(409006)",South East,,,
 Serangoon MRT Station (NE12),"600 Upper Serangoon Rd., S(534801)",South East,,,
 Serangoon MRT Station CC13,"600 Upper Serangoon Rd, S(534801)",South East,,,
 Simei MRT Station,"30 Simei Street 3, S(529888)",South East,,,
 Stadium MRT Station,"3 Stadium Walk, S(397692)",South East,,,
 Tai Seng MRT Station CC11,"33 Upper Paya Lebar Rd, S(534803)",South East,,,
 Ubi MRT Station (DT27),"51 Ubi Avenue 2, S(408899)",South East,,,
 Upper Changi MRT Station,"690 Upper Changi Road East, S(485990)",South East,,,
 Changi Business Park 15,"15 Changi Business Park Central 1, S(486057)",South East,,,
 Changi Business Park 7,"7 Changi Business Park Central 1, S(486072)",South East,,,
 Changi Business Park 9,"9 Changi Business Park Central 1, S(486048)",South East,,,
 Kah Engineering (1988) Pte Ltd,"96B Jalan Senang, S(418482)",South East,,,
 Joo Chiat Complex,"1 Joo Chiat Road, S(420001)",South East,,,
 PLQ Mall,"10 Paya Lebar Road, S(409057)",South East,,,
 Boon Lay Bus Interchange,"87 Jurong West Central 3, S(648343)",South West,,,
 Bukit  Batok Bus Interchange,"631 Bukit Batok Central, S(650631)",South West,,,
 Choa Chu Kang Bus Interchange ,"301 Choa Chu Kang Central Avenue 3, S(689811)",South West,,,
 Clementi Bus Interchange,"441 Commonwealth Avenue West, S(120441)",South West,,,
 Joo Koon Bus Interchange,"55 Benoi Road, S(629907)",South West,,,
 Jurong East Bus Interchange,"17A Jurong Gateway Road, S(608513)",South West,,,
 Tuas Bus Terminal,"1 Tuas West Drive, S(638410)",South West,,,
 Kopitiam @ 450 Clementi Avenue 3,"450 Clementi Avenue 3, #01-271, S(120450)",South West,,,
 NTUC Foodfare Choa Chu Kang,"Blk 303, Choa Chu Kang Avenue 4, #01-723, S(680303)",South West,,,
Aspri-Westlite Construction Site,"5 Jalan Papan Road, S(619396)",South West,,,
 Unison Construction Dormitory,"6 Tuas Basin Link, S(638760)",South West,,,
 Kopitiam,"1 Lower Kent Ridge Road, #05-01 One@Kent Ridge, S (119082)",South West,,,
 Kopitiam,"5 Lower Kent Ridge Rd, #01-01, S(119074)",South West,,,
 CleanTech One,"CleanTech One, 1 Clean Tech Loop, S(637141)",South West,,,
 CleanTech Two,"3 Cleantech Loop, S(637143)",South West,,,
 JTC Surface Engineering Hub,"8 Buroh Street, S(627563)",South West,,,
 Jurong Port Offshore Marine Centre,"101 Tuas South Avenue, S(637423)",South West,,,
 LaunchPad @ JID,"2 Cleantech Loop, S(637144)",South West,,,
 MedTech Hub,"2 Tukang Innovation Grove, S(618305)",South West,,,
 SkyTech,"2 Bukit Batok Street 24, S(659480)",South West,,,
 Ayer Rajah Amenity Centre ,"69 Ayer Rajah Crescent, S(139961)",South West,,,
 Ayer Rajah Food Centre & Market,"Blk 502 West Coast Drive, S(120502)",South West,,,
 Boon Lay Market & Food Centre,"221A Boon Lay Place, S(641221)",South West,,,
 Jurong Port Road Food Centre ,"29A Jurong Port Road, S(619112)",South West,,,
 Pasir Panjang Food Centre,"121 Pasir Panjang Road, S(118543)",South West,,,
 Taman Jurong Market & Food Centre,"3 Yung Sheng Road, S(618499)",South West,,,
 Timbre + Ayer Rajah Crescent Hawker Centre,"73A Ayer Rajah Crescent, S(139957)",South West,,,
 Yuhua Village Market & Food Centre,"254 Jurong East Street 24, S(600254)",South West,,,
 Beauty World MRT Station (DT5),"101 Upper Bukit Timah Road, S(588216)",South West,,,
 Boon Lay MRT Station (EW27),"301 Boon Lay Way, S(649846)",South West,,,
 Bukit Batok MRT Station (N2),"10 Bukit Batok Central, S(659958)",South West,,,
 Bukit Gombak MRT Station (NS3),"802 Bukit Batok West Avenue 5, S(659083)",South West,,,
 Bukit Panjang MRT Station (DT1),"950 Upper Bukit Timah Road, S(678213)",South West,,,
 Buona Vista MRT station,"301, South Buona Vista Road, S(118177)",South West,,,
 Buona Vista MRT Station (EW21),"100 Bouna Vista Road, S(139345)",South West,,,
 Chinese Garden MRT Staton (EW25),"151 Boon Lay Way, S(609959)",South West,,,
 Choa Chu Kang MRT Station (NS4),10 Choa Chu Kang Avenue 4 S(689810),South West,,,
 Clementi MRT Station (EW23),"3150 Commonwealth Avenue West, S(129580)",South West,,,
 Gul Circle Station,"7A Tuas Road, S(637288)",South West,,,
 Haw Par Villa MRT station,"200, Holland Avenue, S(278995)",South West,,,
 Joo Koon MRT Station (EW29),"91 Joo Koon Circle, S(6291116)",South West,,,
 Jurong East MRT Station (EW24),"10 Jurong East Street 12, S(609690)",South West,,,
 Kent Ridge MRT station,"100, North Buona Vista Road, S(139345)",South West,,,
 Labrador Park MRT station,"100, Cluny Park Road, S(257494)",South West,,,
 Lakeside MRT (EW26),"201 Boon Lay Way, S(649845)",South West,,,
 One North MRT station,"9, Ayer Rajah Avenue, S(138647)",South West,,,
 Pasir Panjang MRT station,"71, Farrer Road, S(268857)",South West,,,
 Pioneer MRT Station (EW28),"31 Jurong West Street 63, S(648310)",South West,,,
 Telok Blangah MRT station,"38, Toa Payoh Rise, S(298113)",South West,,,
 Tuas Crescent MRT Station,"90 Pioneer Road, S(639608)",South West,,,
 Tuas Link MRT Station,"20 Tuas West Drive, S(638418)",South West,,,
 Tuas West MRT Station,"131, Pioneer Road, S(639609)",South West,,,
 Jurong Eco Garden ,"1 Cleantech Loop Singapore, S(637141)",South West,,,
 CKR Contract Services Pte Ltd,"56 Sungei Kadut Drive, S(729573)",South West,,,
 Samwoh Eco Green Building,"51 Kranji Crescent, S(728661)",South West,,,
 Choa Chu Kang Centre,"309 Choa Chu Kang Avenue 4, S(680308)",South West,,,
 Depot Height Shopping Centre ,"108 Depot Road, S(100108)",South West,,,
 Gek Poh Shopping Centre,"Blk 762, Jurong West Street 75, S(640762)",South West,,,
 Greenridge Shopping Centre,"524A Jelapang Road, S(671524)",South West,,,
 Greenridge Shopping Centre,"524A Jelapang Road, S(671524)",South West,,,
 Jurong Point Shopping Centre,"1 Jurong West Central 2, #03-07, Jurong Point Shopping Centre, S(648886)",South West,,,
 Limbang Shopping Centre,"532 Choa Chu Kang Street 51, S(680532)",South West,,,
 Pioneer Mall,"638 Jurong West Street 61, S(640638)",South West,,,
 Sunshine Place,"475 Choa Chu Kang Avenue 3, S(680475)",South West,,,
 Taman Jurong Shopping Centre,Blk 399 Yung Sheng Road (Near Party World/NTUC),South West,,,
 Yew Tee Square,"624 Choa Chu Kang Street 62, S(680624)",South West,,,
